"lifetime","type"
38.97,"A"
36.66,"A"
31.43,"A"
56.13,"A"
23.63,"A"
15.08,"A"
27.92,"A"
77.24,"A"
35.5,"A"
50.38,"A"
29.81,"A"
29.45,"A"
66.63,"A"
46.42,"A"
41.99,"A"
13.47,"A"
39.35,"A"
47.93,"A"
51.04,"A"
32.81,"A"
43.12,"A"
46.07,"A"
39.16,"A"
53.91,"A"
47.27,"A"
54.8,"A"
57,"A"
45.99,"A"
41.14,"A"
20.75,"A"
43.77,"A"
60.66,"A"
69.63,"A"
57.88,"A"
21.89,"A"
32.89,"A"
49.43,"A"
52.11,"A"
40.94,"A"
34.87,"A"
49.29,"A"
30.85,"A"
28.58,"A"
43.55,"A"
33.82,"A"
65.04,"A"
24.35,"A"
44.91,"A"
15.17,"A"
25.34,"A"
42.84,"A"
31.41,"A"
31.51,"A"
54.64,"A"
31.59,"A"
17.72,"A"
31.92,"A"
51.56,"A"
52.19,"A"
48.62,"A"
35.82,"A"
27.41,"A"
44.62,"A"
23.63,"A"
21.16,"A"
69.68,"A"
29.44,"A"
51.39,"A"
38.91,"A"
13.6,"A"
44.1,"A"
32.07,"A"
46.52,"A"
82.02,"B"
53.2,"B"
42.01,"B"
15.25,"B"
37.22,"B"
61.14,"B"
62.59,"B"
49.8,"B"
70.1,"B"
26.26,"B"
35.63,"B"
47.44,"B"
66.49,"B"
15.33,"B"
36.78,"B"
45.97,"B"
52.6,"B"
39.7,"B"
32.99,"B"
49.12,"B"
20.6,"B"
50.16,"B"
32.48,"B"
36.82,"B"
44.47,"B"
64.82,"B"
64.38,"B"
63.25,"B"
37.32,"B"
49.24,"B"
43.37,"B"
41.42,"B"
59.28,"B"
67.46,"B"
34.53,"B"
48.87,"B"
35.28,"B"
120.28,"B"
39.76,"B"
55.97,"B"
47.11,"B"
58.89,"B"
75.65,"B"
44.58,"B"
29.12,"B"
79.57,"B"
44.45,"B"
57.69,"B"
37.01,"B"
30.11,"B"
12.85,"B"
115.41,"B"
68.74,"B"
32.88,"B"
39.05,"B"
40.03,"B"
40.03,"B"
18.99,"B"
97.97,"B"
